,output,dependencies
100,Misc Pool Heater,"['Location Region', 'Misc Pool']"
101,Misc Pool Pump,['Misc Pool']
102,HVAC Has Ducts,"['HVAC Cooling Type', 'HVAC Heating Type']"
103,Ducts,"['HVAC Has Ducts', 'Geometry Building Type RECS', 'Vintage', 'Geometry Foundation Type']"
104,Has PV,"['County', 'Geometry Building Type RECS', 'Vacancy Status']"
105,PV System Size,"['Has PV', 'State']"
106,PV Orientation,['Has PV']
107,PUMA Metro Status,['PUMA']
108,Geometry Floor Area,"['Census Division', 'Geometry Building Type RECS', 'Income RECS2020', 'PUMA Metro Status', 'Tenure', 'Vintage ACS']"
109,Geometry Floor Area Bin,['Geometry Floor Area']
110,Geometry Stories,"['Geometry Building Type ACS', 'Geometry Floor Area Bin', 'Vintage ACS']"
111,Geometry Building Type Height,"['Geometry Building Type RECS', 'Geometry Stories']"
112,Geometry Building Level MF,"['Geometry Building Type RECS', 'Geometry Stories']"
113,Geometry Building Number Units MF,"['Geometry Building Type ACS', 'Geometry Stories']"
114,Geometry Building Horizontal Location MF,"['Geometry Building Number Units MF', 'Geometry Stories']"
115,Geometry Stories Low Rise,['Geometry Stories']
116,Geometry Attic Type,"['Geometry Building Type RECS', 'Geometry Stories Low Rise']"
117,Geometry Story Bin,['Geometry Stories']
118,Geometry Wall Type,"['Geometry Building Type RECS', 'Geometry Story Bin', 'State', 'Vintage ACS']"
119,Geometry Wall Exterior Finish,"['Geometry Wall Type', 'State', 'Vintage ACS']"
120,Geometry Garage,"['Geometry Building Type RECS', 'Geometry Floor Area Bin', 'Geometry Foundation Type', 'Geometry Stories Low Rise', 'Vintage']"
121,Bedrooms,"['Geometry Building Type RECS', 'Geometry Floor Area']"
122,Occupants,"['Bedrooms', 'Census Division', 'Geometry Building Type RECS', 'Income RECS2015', 'PUMA Metro Status', 'Tenure']"
123,Federal Poverty Level,"['Income', 'Occupants']"
124,Window Areas,['Geometry Building Type Height']
125,Insulation Ceiling,"['Geometry Attic Type', 'Location Region', 'Vintage']"
126,Insulation Roof,['Geometry Attic Type']
127,Insulation Wall,"['Location Region', 'Vintage', 'Geometry Wall Type']"
128,HVAC Cooling Partial Space Conditioning,"['ASHRAE IECC Climate Zone 2004', 'Geometry Building Type RECS', 'Geometry Floor Area Bin', 'HVAC Cooling Type']"
129,Infiltration,"['ASHRAE IECC Climate Zone 2004', 'Geometry Floor Area', 'Vintage']"
130,REEDS Balancing Area,['County']
131,Generation And Emissions Assessment Region,['REEDS Balancing Area']
132,City,['County and PUMA']
