index,latitude,longitude,city
124,38.8051095,-77.0470229,"VA, Alexandria"
125,30.0860459,-94.1018461,"TX, Beaumont"
126,44.9475726,-93.3569023,"MN, St Louis Park"
127,37.6922361,-97.3375448,"KS, Wichita"
128,27.9946969,-80.6366144,"FL, Palm Bay"
129,33.6169035,-112.28011795781,"AZ, Sun City"
130,39.5404679,-119.7487235,"NV, Sparks"
131,33.4942189,-111.9260184,"AZ, Scottsdale"
132,41.1779095,-73.1867391,"CT, Bridgeport"
133,46.877229,-96.789821,"ND, Fargo"
134,32.665135,-114.47603157249804,"AZ, Yuma"
135,33.6633386,-117.903317,"CA, Costa Mesa"
136,36.9775016,-76.42977,"VA, Newport News"
137,45.0065149,-93.46651,"MN, Plymouth"
138,40.2981599,-111.6944313,"UT, Orem"
139,41.9758872,-91.6704053,"IA, Cedar Rapids"
140,42.3095704,-71.4413097,"MA, Framingham"
141,38.092239500000005,-121.38984593366523,"CA, Lodi"
142,26.715364,-80.0532942,"FL, West Palm Beach"
143,45.7874957,-108.49607,"MT, Billings"
144,42.1018764,-72.5886727,"MA, Springfield"
145,39.7990175,-89.6439575,"IL, Springfield"
146,33.5386858,-112.185994,"AZ, Glendale"
147,43.0161693,-83.6900211,"MI, Flint"
148,33.4151005,-111.8314552,"AZ, Mesa"
149,29.4246002,-98.4951405,"TX, San Antonio"
150,35.996653,-78.9018053,"NC, Durham"
151,41.139981,-104.820246,"WY, Cheyenne"
152,42.2713945,-89.093966,"IL, Rockford"
153,37.7790262,-122.419906,"CA, San Francisco"
154,26.0112014,-80.1494901,"FL, Hollywood"
155,34.9248667,-81.0250784,"SC, Rock Hill"
156,40.7215682,-74.047455,"NJ, Jersey City"
157,33.1775233,-111.547892,"AZ, San Tan Valley"
158,29.6519684,-82.3249846,"FL, Gainesville"
159,35.4729886,-97.5170536,"OK, Oklahoma City"
160,41.3822398,-81.7355692,"OH, Parma"
161,35.925206,-86.8689419,"TN, Franklin"
162,33.1976496,-96.6154471,"TX, Mckinney"
163,33.7578725,-117.9859054,"CA, Westminster"
164,39.5261206,-119.8126581,"NV, Reno"
165,33.1505998,-96.8238183,"TX, Frisco"
166,30.3674198,-89.0928155,"MS, Gulfport"
167,38.95967995,-92.28967075718833,"MO, Columbia"
168,35.7882893,-78.7812081,"NC, Cary"
169,39.9622601,-83.0007065,"OH, Columbus"
170,40.6938609,-89.5891008,"IL, Peoria"
171,32.753177,-97.3327459,"TX, Fort Worth"
172,44.7670567,-93.2773887,"MN, Burnsville"
173,30.2711286,-97.7436995,"TX, Austin"
174,38.545379,-121.744583,"CA, Davis"
175,39.1670396,-86.5342881,"IN, Bloomington"
176,26.318342,-80.0996306,"FL, Deerfield Beach"
177,32.3669656,-86.3006485,"AL, Montgomery"
178,33.6856969,-117.8259819,"CA, Irvine"
179,39.100105,-94.5781416,"MO, Kansas City"
180,41.6529143,-83.5378173,"OH, Toledo"
181,32.297853,-110.9187037,"AZ, Catalina Foothills"
182,40.75839,-82.5154471,"OH, Mansfield"
183,38.7535106,-91.1453948,"MI, Warren"
184,32.7355816,-97.1071186,"TX, Arlington"
185,34.1469416,-118.2478471,"CA, Glendale"
186,42.291707,-85.5872286,"MI, Kalamazoo"
187,25.9564812,-80.1392121,"FL, Aventura"
188,39.7085736,-105.0846694,"CO, Lakewood"
189,39.0817985,-77.1516844,"MD, Rockville"
190,36.8448348,-76.2863999,"VA, Norfolk"
191,42.8867166,-78.8783922,"NY, Buffalo"
192,36.0998131,-80.2440518,"NC, Winston-Salem"
193,41.0956718,-73.4219246,"CT, Norwalk"
194,43.8122836,-91.2514355,"WI, La Crosse"
195,39.2085354,-84.5501874,"OH, Hamilton"
196,45.5202471,-122.674194,"OR, Portland"
197,44.0206919,-88.5408574,"WI, Oshkosh"
198,33.8901096,-117.8249705,"CA, Yorba Linda"
199,33.0369867,-117.2919818,"CA, Encinitas"
200,35.2072185,-101.833824,"TX, Amarillo"
201,34.729847,-86.5859011,"AL, Huntsville"
202,28.483576,-82.5338633376176,"FL, Spring Hill"
203,34.1705609,-118.8375937,"CA, Thousand Oaks"
204,47.2455013,-122.438329,"WA, Tacoma"
205,37.0841838,-94.5133385,"MO, Joplin"
206,31.7550511,-106.4882345,"TX, El Paso"
207,37.7249296,-122.1560768,"CA, San Leandro"
208,43.0481221,-76.1474244,"NY, Syracuse"
209,40.7596198,-111.886797,"UT, Salt Lake City"
210,33.7489924,-84.3902644,"GA, Atlanta"
211,35.9603948,-83.9210261,"TN, Knoxville"
212,39.017316,-94.282265,"MO, Blue Springs"
213,33.6864432,-117.1770437,"CA, Menifee"
214,44.0581728,-121.3153096,"OR, Bend"
215,29.9759983,-90.0782127,"LA, New Orleans"
216,32.4610708,-84.9880449,"GA, Columbus"
217,32.6098566,-85.4807825,"AL, Auburn"
218,41.5388115,-72.801518,"CT, Meriden"
219,36.8529841,-75.9774183,"VA, Virginia Beach"
220,47.0451022,-122.8950075,"WA, Olympia"
221,36.5277607,-87.3588703,"TN, Clarksville"
222,26.339806,-81.7786972,"FL, Bonita Springs"
223,39.063956,-108.5507317,"CO, Grand Junction"
224,44.0505054,-123.0950506,"OR, Eugene"
225,33.8455911,-118.3886766,"CA, Redondo Beach"
226,46.7729322,-92.1251218,"MN, Duluth"
227,40.8088861,-96.7077751,"NE, Lincoln"
228,27.044224,-82.2359254,"FL, North Port"
229,37.8708393,-122.272863,"CA, Berkeley"
230,32.4707862,-93.7559378,"LA, Shreveport"
231,42.0987125,-75.9125262,"NY, Binghamton"
232,37.5385087,-77.43428,"VA, Richmond"
233,41.4996574,-81.6936772,"OH, Cleveland"
234,44.5126379,-88.0125794,"WI, Green Bay"
235,47.6571104,-117.2613936,"WA, Spokane Valley"
236,44.8546856,-93.470786,"MN, Eden Prairie"
237,35.0525759,-78.878292,"NC, Fayetteville"
238,43.074761,-89.3837613,"WI, Madison"
239,32.8795022,-111.757352,"AZ, Casa Grande"
240,46.8701049,-113.995267,"MT, Missoula"
241,27.9658533,-82.8001026,"FL, Clearwater"
242,40.4167022,-86.8752869,"IN, Lafayette"
243,43.5488256,-96.7307737,"SD, Sioux Falls"
244,32.2228765,-110.9748477,"AZ, Tucson"
245,33.9463786,-84.3342686,"GA, Dunwoody"
246,36.1830875,-115.02796403836633,"NV, Sunrise Manor"
247,42.4853125,-83.3771553,"MI, Farmington Hills"
248,42.1487691,-72.6071119,"MA, Chicopee"
249,43.7128967,-87.9370433,"WI, Sheboygan"
250,26.2517482,-80.1789351,"FL, Coconut Creek"
251,37.104153,-113.5841313,"UT, St George"
252,41.1947276,-73.1307708,"CT, Stratford"
253,33.6783336,-118.0000166,"CA, Huntington Beach"
254,35.2521996,-92.6888936,"AR, Conway"
255,33.5225261,-117.7075526,"CA, Laguna Niguel"
256,32.3231877,-110.9952215,"AZ, Casas Adobes"
257,40.1164841,-88.2430932,"IL, Champaign"
258,38.8769326,-77.0893094,"VA, Arlington"
259,44.6365071,-123.1059324,"OR, Albany"
260,32.3086744,-90.1983063,"MS, Jackson"
261,32.0564572,-81.0951271,"GA, Savannah"
262,37.6820583,-121.768053,"CA, Livermore"
263,42.3554334,-71.060511,"MA, Boston"
264,38.7877791,-90.6747372,"MO, St Charles"
265,42.3756401,-71.2358004,"MA, Waltham"
266,26.2378597,-80.1247667,"FL, Pompano Beach"
267,38.2971367,-122.2855293,"CA, Napa"
268,34.6240205,-87.05791872812708,"AL, Decatur"
269,42.6055893,-83.1499304,"MI, Troy"
270,31.9973662,-102.077948,"TX, Midland"
271,37.8044557,-122.271356,"CA, Oakland"
272,26.3586885,-80.0830984,"FL, Boca Raton"
273,39.6136578,-86.1066526,"IN, Greenwood"
